supplier_name,industry
上海新阳半导体材料股份有限公司,半导体
上海岱美汽车内饰件股份有限公司,汽车零部件
上海三友医疗器械股份有限公司,机械设备
宁夏巨能机器人股份有限公司,工业自动化
兆易创新科技集团股份有限公司,仪器仪表与传感器
上海海得控制系统股份有限公司,电气设备
中亿丰罗普斯金材料科技股份有限公司,光伏、储能与新能源设备
东睦新材料集团股份有限公司,金属与基础材料
上海晶华胶粘新材料股份有限公司,化工与新材料
上海纳尔实业股份有限公司,橡胶与塑料制品
九牧王股份有限公司,纺织与工业用布
冠昊生物科技股份有限公司,医疗器械
上海复旦张江生物医药股份有限公司,医药与原料药制造
北京盛通印刷股份有限公司,包装、纸制品与印刷材料
上海阿莱德实业集团股份有限公司,电子元器件
上海正帆科技股份有限公司,半导体
上海新朋实业股份有限公司,汽车零部件
上海健麾信息技术股份有限公司,机械设备
宁波均普智能制造股份有限公司,工业自动化
创远信科(上海)技术股份有限公司,仪器仪表与传感器
上海良信电器股份有限公司,电气设备
中伟新材料股份有限公司,光伏、储能与新能源设备
东莞宏远工业区股份有限公司,金属与基础材料
上海氯碱化工股份有限公司,化工与新材料
上海肇民新材料科技股份有限公司,橡胶与塑料制品
众望布艺股份有限公司,纺织与工业用布
北京万东医疗科技股份有限公司,医疗器械
上海复星医药(集团)股份有限公司,医药与原料药制造
厦门合兴包装印刷股份有限公司,包装、纸制品与印刷材料
上海龙旗科技股份有限公司,电子元器件
上海盛剑科技股份有限公司,半导体
上海毓恬冠佳科技股份有限公司,汽车零部件
上海先惠自动化技术股份有限公司,机械设备
广东拓斯达科技股份有限公司,工业自动化
力合科技(湖南)股份有限公司,仪器仪表与传感器
上海荣泰健康科技股份有限公司,电气设备
中南红文化集团股份有限公司,光伏、储能与新能源设备
东莞宜安科技股份有限公司,金属与基础材料
上海永冠众诚新材料科技(集团)股份有限公司,化工与新材料
中仑新材料股份有限公司,橡胶与塑料制品
优彩环保资源科技股份有限公司,纺织与工业用布
北京佰仁医疗科技股份有限公司,医疗器械
上海宣泰医药科技股份有限公司,医药与原料药制造
厦门安妮股份有限公司,包装、纸制品与印刷材料
东信和平科技股份有限公司,电子元器件
上海硅产业集团股份有限公司,半导体
上海汽车空调配件股份有限公司,汽车零部件
上海克来机电自动化工程股份有限公司,机械设备
广州思林杰科技股份有限公司,工业自动化
北京天玛智控科技股份有限公司,仪器仪表与传感器
上海起帆电缆股份有限公司,电气设备
中国南玻集团股份有限公司,光伏、储能与新能源设备
东莞金太阳研磨股份有限公司,金属与基础材料
上海汇得科技股份有限公司,化工与新材料
中策橡胶集团股份有限公司,橡胶与塑料制品
北京同益中新材料科技股份有限公司,纺织与工业用布
北京博晖创新生物技术集团股份有限公司,医疗器械
上海小方制药股份有限公司,医药与原料药制造
合肥恒鑫生活科技股份有限公司,包装、纸制品与印刷材料
东方通信股份有限公司,电子元器件
上海至纯洁净系统科技股份有限公司,半导体
上海汽车集团股份有限公司,汽车零部件
